Type,Rank,Player,Team,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
BATTING,1,Vaibhav Sooryavanshi,RR,16,16,0,776,103,48.5,327,237.3,1,5,63,72
BATTING,2,Shubman Gill,GT,16,16,0,732,104,45.75,449,163.02,1,6,74,33
BATTING,3,Sai Sudharsan,GT,17,17,0,722,100,45.12,457,157.98,1,8,75,30
BATTING,4,Virat Kohli,RCB,16,16,1,675,105*,56.25,407,165.84,1,5,73,25
BATTING,5,Heinrich Klaasen,SRH,15,15,2,624,69,48,390,160,0,6,48,31
BATTING,6,Ishan Kishan,SRH,15,15,0,602,91,40.13,330,182.42,0,6,60,32
BATTING,7,KL Rahul,DC,14,14,1,593,152*,45.61,340,174.41,1,5,56,31
BATTING,8,Abhishek Sharma,SRH,15,15,0,563,135*,40.21,275,204.72,1,4,50,43
BATTING,9,Mitchell Marsh,LSG,13,13,0,563,111,43.3,345,163.18,1,3,51,36
BATTING,10,Jos Buttler,GT,17,17,1,526,60,37.57,345,152.46,0,4,51,26
BATTING,11,Ryan Rickelton,MI,12,12,1,448,123*,40.72,235,190.63,1,2,31,37
BATTING,12,Tilak Varma,MI,14,14,1,359,101*,27.61,246,145.93,1,1,25,16
BATTING,13,Naman Dhir,MI,14,14,0,307,57,21.92,176,174.43,0,2,24,18
BATTING,14,Rohit Sharma,MI,9,9,0,283,84,31.44,185,152.97,0,2,22,15
BATTING,15,Suryakumar Yadav,MI,13,13,0,270,60,20.76,173,156.06,0,1,20,12
